N	trial_name	acquisition_date	exported_tissue_sample_name	tissue_sample_name	well_A01	row_number	col_number	source_observation_unit_name	accession_name	synonyms	dna_person	notes	tissue_type	extraction	concentration	volume	is_blank	Observation_unit_name	DarTMatch	FILE
3353	BR-19-DArT-PL01	6/1/19	BR-19-DArT-PL04_F03|||Aipim-Abacate-2	BR-19-DArT-PL04_F03	F03	F	3	BR.BAG.19.CNPMF.Aipim-Abacate-2.250	Aipim-Abacate-2	NA	EMBRAPA	NA	leaf	NA	NA	NA	0	Aipim-Abacate-2	Aipim.Abacate.2.1	1
3372	BR-19-DArT-PL01	6/1/19	BR-19-DArT-PL04_G10|||Baianinha	BR-19-DArT-PL04_G10	G10	G	10	BR.BAG.19.CNPMF.Baianinha.16	Baianinha	NA	EMBRAPA	NA	leaf	NA	NA	NA	0	Baianinha	Baianinha	1
1420	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_A10|||BGM-0022	EmbrapaBAG.Plate01_A10	A10	A	10	TP-BR-18-EMBRAPA-NextGen_BGM-0022_12_plant_1	BGM-0022	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0022	BGM.0022.1	1
3254	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_E10|||BGM-0022-TB	BR-19-DArT-PL03_E10	E10	E	10	BR.BAG.19.CNPMF.BGM-0022-TB.151	BGM-0022-TB		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0022-TB	BGM.0022.TB.1	1
3255	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_E11|||BGM-0022-TR	BR-19-DArT-PL03_E11	E11	E	11	BR.BAG.19.CNPMF.BGM-0022-TR.152	BGM-0022-TR		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0022-TR	BGM.0022.TR.1	1
3256	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_E12|||BGM-0023	BR-19-DArT-PL03_E12	E12	E	12	BR.BAG.19.CNPMF.BGM-0023.153	BGM-0023		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0023	BGM.0023.2	1
3257	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_F01|||BGM-0028	BR-19-DArT-PL03_F01	F01	F	1	BR.BAG.19.CNPMF.BGM-0028.154	BGM-0028		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0028	BGM.0028.2	1
3258	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_F02|||BGM-0032	BR-19-DArT-PL03_F02	F02	F	2	BR.BAG.19.CNPMF.BGM-0032.155	BGM-0032		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0032	BGM.0032.2	1
3259	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_F03|||BGM-0042	BR-19-DArT-PL03_F03	F03	F	3	BR.BAG.19.CNPMF.BGM-0042.156	BGM-0042		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0042	BGM.0042.2	1
2343	EmbrapaBAG.Plate09	6/26/18	EmbrapaBAG.Plate09_H04|||BGM-0043	EmbrapaBAG.Plate09_H04	H04	H	4	TP-BR-18-EMBRAPA-NextGen_BGM-0043_28_plant_1	BGM-0043		EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0043	BGM.0043.1	1
3260	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_F04|||BGM-0060	BR-19-DArT-PL03_F04	F04	F	4	BR.BAG.19.CNPMF.BGM-0060.157	BGM-0060		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0060	BGM.0060.2	1
3261	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_F05|||BGM-0062	BR-19-DArT-PL03_F05	F05	F	5	BR.BAG.19.CNPMF.BGM-0062.158	BGM-0062		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0062	BGM.0062.2	1
3262	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_F06|||BGM-0069	BR-19-DArT-PL03_F06	F06	F	6	BR.BAG.19.CNPMF.BGM-0069.159	BGM-0069		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0069	BGM.0069.2	1
2380	EmbrapaBAG.Plate10	6/26/18	EmbrapaBAG.Plate10_C06|||BGM-0082	EmbrapaBAG.Plate10_C06	C06	C	6	TP-BR-18-EMBRAPA-NextGen_BGM-0082_52_plant_1	BGM-0082		EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0082	BGM.0082.	1
3263	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_F07|||BGM-0088	BR-19-DArT-PL03_F07	F07	F	7	BR.BAG.19.CNPMF.BGM-0088.160	BGM-0088		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0088	BGM.0088.2	1
1460	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_E02|||BGM-0090	EmbrapaBAG.Plate01_E02	E02	E	2	TP-BR-18-EMBRAPA-NextGen_BGM-0090_60_plant_1	BGM-0090	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0090	BGM.0090.1	1
1462	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_E04|||BGM-0096	EmbrapaBAG.Plate01_E04	E04	E	4	TP-BR-18-EMBRAPA-NextGen_BGM-0096_62_plant_1	BGM-0096	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0096	BGM.0096.1	1
2360	EmbrapaBAG.Plate10	6/26/18	EmbrapaBAG.Plate10_A10|||BGM-0113-RcxCr	EmbrapaBAG.Plate10_A10	A10	A	10	TP-BR-18-EMBRAPA-NextGen_BGM-0113 RcxCr_67_plant_1	BGM-0113-RcxCr	BGM-0113 RcxCr	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0113-RcxCr	BGM.0113.RcxCr.1	1
2361	EmbrapaBAG.Plate10	6/26/18	EmbrapaBAG.Plate10_A11|||BGM-0113-RcxRos	EmbrapaBAG.Plate10_A11	A11	A	11	TP-BR-18-EMBRAPA-NextGen_BGM-0113 RcxRos_68_plant_1	BGM-0113-RcxRos	BGM-0113 RcxRos	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0113-RcxRos	BGM.0113.RcxRos.1	1
1467	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_E09|||BGM-0115	EmbrapaBAG.Plate01_E09	E09	E	9	TP-BR-18-EMBRAPA-NextGen_BGM-0115_69_plant_1	BGM-0115	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0115	BGM.0115.1	1
2362	EmbrapaBAG.Plate10	6/26/18	EmbrapaBAG.Plate10_A12|||BGM-0115-TB	EmbrapaBAG.Plate10_A12	A12	A	12	TP-BR-18-EMBRAPA-NextGen_BGM-0115 TB_70_plant_1	BGM-0115-TB	BGM-0115 TB	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0115-TB	BGM.0115.TB.1	1
2363	EmbrapaBAG.Plate10	6/26/18	EmbrapaBAG.Plate10_B01|||BGM-0115-TR	EmbrapaBAG.Plate10_B01	B01	B	1	TP-BR-18-EMBRAPA-NextGen_BGM-0115 TR_71_plant_1	BGM-0115-TR	BGM-0115 TR	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0115-TR	BGM.0115.TR.1	1
3264	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_F08|||BGM-0124	BR-19-DArT-PL03_F08	F08	F	8	BR.BAG.19.CNPMF.BGM-0124.161	BGM-0124		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0124	BGM.0124.2	1
3152	BR-19-DArT-PL02	6/1/19	BR-19-DArT-PL02_E02|||BGM-0135	BR-19-DArT-PL02_E02	E02	E	2	BR.BAG.19.CNPMF.BGM-0135.162	BGM-0135		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0135	BGM.0135	1
1486	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_G04|||BGM-0150	EmbrapaBAG.Plate01_G04	G04	G	4	TP-BR-18-EMBRAPA-NextGen_BGM-0150_92_plant_1	BGM-0150	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0150	BGM.0150.1	1
3095	BR-19-DArT-PL01	6/1/19	BR-19-DArT-PL01_H04|||BGM-0150A	BR-19-DArT-PL01_H04	H04	H	4	BR.BAG.19.CNPMF.BGM-0150A.105	BGM-0150A	BGM-0150A	EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0150-A	BGM.0150A	1
3478	BR-19-DArT-PL05	6/1/19	BR-19-DArT-PL05_H11|||BGM-0150(B)	BR-19-DArT-PL05_H11	H11	H	11	BR.BAG.19.CNPMF.BGM-0150(B).368	BGM-0150(B)		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0150-B	BGM.0150.B.	1
1488	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_G06|||BGM-0152	EmbrapaBAG.Plate01_G06	G06	G	6	TP-BR-18-EMBRAPA-NextGen_BGM-0152_96_plant_1	BGM-0152	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0152	BGM.0152.1	1
3094	BR-19-DArT-PL01	6/1/19	BR-19-DArT-PL01_H03|||BGM-0152A	BR-19-DArT-PL01_H03	H03	H	3	BR.BAG.19.CNPMF.BGM-0152A.104	BGM-0152A	BGM-0152A	EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0152-A	BGM.0152A	1
3396	BR-19-DArT-PL05	6/1/19	BR-19-DArT-PL05_A12|||BGM-0152(B)	BR-19-DArT-PL05_A12	A12	A	12	BR.BAG.19.CNPMF.BGM-0152(B).369	BGM-0152(B)		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0152-B	BGM.0152.B.	1
1494	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_H01|||BGM-0162	EmbrapaBAG.Plate01_H01	H01	H	1	TP-BR-18-EMBRAPA-NextGen_BGM-0162_104_plant_1	BGM-0162	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0162	BGM.0162.1	1
2382	EmbrapaBAG.Plate10	6/26/18	EmbrapaBAG.Plate10_C08|||BGM-0177	EmbrapaBAG.Plate10_C08	C08	C	8	TP-BR-18-EMBRAPA-NextGen_BGM-0177_117_plant_1	BGM-0177		EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0177	BGM.0177.1	1
3266	BR-19-DArT-PL03	6/1/19	BR-19-DArT-PL03_F10|||BGM-0179	BR-19-DArT-PL03_F10	F10	F	10	BR.BAG.19.CNPMF.BGM-0179.163	BGM-0179		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0179	BGM.0179.2	1
