"","x"
"1","A.Preto.joselito"
"2","Aciolina"
"3","AF2011.52.01"
"4","AF2011.52.25"
"5","Aipim.Abacate"
"6","Aipim.Abacate.2"
"7","Aipim.Abacate.2.1"
"8","Aipim.Brasilia"
"9","Aipim.Eucalipto.NV"
"10","Aipim.Guanambi"
"11","Aipim.manteiga.NV"
"12","Aipim.Ze.Marcos.1."
"13","Alemao.Aracruz"
"14","AM.Jaeve.RN"
"15","Amarela"
"16","Amarela.CC"
"17","Amarela.DSL"
"18","Amarelinha"
"19","Amarelinha.AC"
"20","Amarelinha.J"
"21","Amarelinha.NV"
"22","Amarelinha.SM"
"23","AP"
"24","Baiana"
"25","Baianinha"
"26","Baianinha.1"
"27","Bainha.rosa"
"28","BGM.0004"
"29","BGM.0005"
"30","BGM.0006"
"31","BGM.0014"
"32","BGM.0017"
"33","BGM.0018"
"34","BGM.0019"
"35","BGM.0020"
"36","BGM.0021"
"37","BGM.0022"
"38","BGM.0022.1"
"39","BGM.0022.T.Bco"
"40","BGM.0022.T.Rx"
"41","BGM.0022.TB"
"42","BGM.0022.TB.1"
"43","BGM.0022.TR"
"44","BGM.0022.TR.1"
"45","BGM.0023"
"46","BGM.0023.1"
"47","BGM.0023.2"
"48","BGM.0024"
"49","BGM.0025"
"50","BGM.0027"
"51","BGM.0028"
"52","BGM.0028.1"
"53","BGM.0028.2"
"54","BGM.0029"
"55","BGM.0030"
"56","BGM.0031"
"57","BGM.0032"
"58","BGM.0032.1"
"59","BGM.0032.2"
"60","BGM.0036"
"61","BGM.0037"
"62","BGM.0039"
"63","BGM.0040"
"64","BGM.0042"
"65","BGM.0042.1"
"66","BGM.0042.2"
"67","BGM.0043"
"68","BGM.0043."
"69","BGM.0043.1"
"70","BGM.0043.1."
"71","BGM.0044"
"72","BGM.0047"
"73","BGM.0049"
"74","BGM.0050"
"75","BGM.0052"
"76","BGM.0053"
"77","BGM.0054"
"78","BGM.0056"
"79","BGM.0058"
"80","BGM.0060"
"81","BGM.0060.1"
"82","BGM.0060.2"
"83","BGM.0061"
"84","BGM.0062"
"85","BGM.0062.1"
"86","BGM.0062.2"
"87","BGM.0063"
"88","BGM.0065"
"89","BGM.0066"
"90","BGM.0067"
"91","BGM.0069"
"92","BGM.0069.1"
"93","BGM.0069.2"
"94","BGM.0070"
"95","BGM.0073"
"96","BGM.0075"
"97","BGM.0076"
"98","BGM.0077."
"99","BGM.0080"
"100","BGM.0082"
"101","BGM.0082."
"102","BGM.0082.1"
"103","BGM.0082.1."
"104","BGM.0083"
"105","BGM.0084"
"106","BGM.0085"
"107","BGM.0087"
"108","BGM.0088"
"109","BGM.0088.1"
"110","BGM.0088.2"
"111","BGM.0089"
"112","BGM.0090"
"113","BGM.0090.1"
"114","BGM.0091"
"115","BGM.0096"
"116","BGM.0096.1"
"117","BGM.0097"
"118","BGM.0098"
"119","BGM.0100"
"120","BGM.0106"
"121","BGM.0113.RcxCr"
"122","BGM.0113.RcxCr.1"
"123","BGM.0113.RcxRos"
"124","BGM.0113.RcxRos.1"
"125","BGM.0115"
"126","BGM.0115.1"
"127","BGM.0115.TB"
"128","BGM.0115.TB.1"
"129","BGM.0115.TR"
"130","BGM.0115.TR.1"
"131","BGM.0116"
"132","BGM.0119"
"133","BGM.0120"
"134","BGM.0121"
"135","BGM.0123"
"136","BGM.0124"
"137","BGM.0124.1"
"138","BGM.0124.2"
"139","BGM.0126"
"140","BGM.0130"
"141","BGM.0131"
"142","BGM.0132"
"143","BGM.0133"
"144","BGM.0134"
"145","BGM.0135"
"146","BGM.0135.1"
"147","BGM.0136"
"148","BGM.0137"
"149","BGM.0138"
"150","BGM.0140"
"151","BGM.0143"
"152","BGM.0144"
"153","BGM.0144."
"154","BGM.0145"
"155","BGM.0150"
"156","BGM.0150.1"
"157","BGM.0150.B"
"158","BGM.0150.B."
"159","BGM.0150A"
"160","BGM.0150A.1"
"161","BGM.0151"
"162","BGM.0152"
"163","BGM.0152.1"
"164","BGM.0152.B"
"165","BGM.0152.B."
"166","BGM.0152A"
"167","BGM.0152A.1"
"168","BGM.0155"
"169","BGM.0156"
"170","BGM.0157"
"171","BGM.0160"
"172","BGM.0161"
"173","BGM.0162"
"174","BGM.0162.1"
"175","BGM.0162.A"
"176","BGM.0162.B"
"177","BGM.0163"
"178","BGM.0164"
"179","BGM.0165"
"180","BGM.0165.1."
"181","BGM.0165.1..1"
"182","BGM.0165.2."
"183","BGM.0166"
"184","BGM.0167"
"185","BGM.0168"
"186","BGM.0169"
"187","BGM.0170"
"188","BGM.0171"
"189","BGM.0174"
"190","BGM.0177"
"191","BGM.0177.1"
"192","BGM.0177.1."
"193","BGM.0179"
"194","BGM.0179.1"
"195","BGM.0179.2"
"196","BGM.0182"
"197","BGM.0182."
"198","BGM.0182.1"
"199","BGM.0182.1."
"200","BGM.0184"
"201","BGM.0184.1"
"202","BGM.0184.2"
"203","BGM.0185"
"204","BGM.0186"
"205","BGM.0186.1"
"206","BGM.0186.2"
"207","BGM.0187"
"208","BGM.0187."
"209","BGM.0187.1"
"210","BGM.0187.1."
"211","BGM.0187.2"
"212","BGM.0188"
"213","BGM.0189"
"214","BGM.0190"
"215","BGM.0190.1"
"216","BGM.0190.2"
"217","BGM.0195"
"218","BGM.0199"
"219","BGM.0201"
"220","BGM.0202"
"221","BGM.0204"
"222","BGM.0207"
"223","BGM.0208"
"224","BGM.0209"
"225","BGM.0209.1"
"226","BGM.0210"
"227","BGM.0211"
"228","BGM.0212"
"229","BGM.0213"
"230","BGM.0214"
"231","BGM.0215"
"232","BGM.0220"
"233","BGM.0222"
"234","BGM.0222.1"
"235","BGM.0222.2"
"236","BGM.0226"
"237","BGM.0235"
"238","BGM.0236"
"239","BGM.0237"
"240","BGM.0238"
"241","BGM.0239"
"242","BGM.0240"
"243","BGM.0242"
"244","BGM.0247"
"245","BGM.0248"
"246","BGM.0249"
"247","BGM.0250"
"248","BGM.0252"
"249","BGM.0254"
"250","BGM.0257"
"251","BGM.0257.1"
"252","BGM.0260"
"253","BGM.0261"
"254","BGM.0264"
"255","BGM.0266"
"256","BGM.0266.1"
"257","BGM.0266.2"
"258","BGM.0267"
"259","BGM.0268"
"260","BGM.0269"
"261","BGM.0270"
"262","BGM.0271"
"263","BGM.0271."
"264","BGM.0271.1."
"265","BGM.0276"
"266","BGM.0276."
"267","BGM.0277"
"268","BGM.0279"
"269","BGM.0281"
"270","BGM.0283"
"271","BGM.0284"
"272","BGM.0285"
"273","BGM.0286"
"274","BGM.0287"
"275","BGM.0288"
"276","BGM.0289"
"277","BGM.0290"
"278","BGM.0290."
"279","BGM.0290.1"
"280","BGM.0290.2"
"281","BGM.0290.3"
"282","BGM.0294"
"283","BGM.0294.1"
"284","BGM.0297"
"285","BGM.0298"
"286","BGM.0303"
"287","BGM.0304"
"288","BGM.0306"
"289","BGM.0307"
"290","BGM.0308"
"291","BGM.0312"
"292","BGM.0314"
