INDV,INDV1,INDV2,N_NA,N_COMMON_CALLED,N_DISCORD,DISCORDANCE
Aipim-Abacate-2,Aipim.Abacate.2.1,Aipim.Abacate.2,2626,10355,3782,0.365234
Baianinha,Baianinha,BR.20.DArT.PL22_C10...Baianinha,2855,10126,3418,0.337547
Baianinha,Baianinha,Baianinha.1,2854,10127,3025,0.298706
Baianinha,BR.20.DArT.PL22_C10...Baianinha,Baianinha.1,2942,10039,3632,0.361789
BGM-0022,BGM.0022.1,BGM.0022,2934,10047,3420,0.3404
BGM-0022-TB,BGM.0022.TB.1,BGM.0022.TB,2372,10609,272,0.0256386
BGM-0022-TB,BGM.0022.TB.1,BGM.0022.T.Bco,2308,10673,251,0.0235173
BGM-0022-TB,BGM.0022.TB,BGM.0022.T.Bco,2183,10798,199,0.0184293
BGM-0022-TR,BGM.0022.TR.1,BGM.0022.TR,3125,9856,3730,0.37845
BGM-0022-TR,BGM.0022.TR.1,BGM.0022.T.Rx,2165,10816,241,0.0222818
BGM-0022-TR,BGM.0022.TR,BGM.0022.T.Rx,3067,9914,3756,0.378858
BGM-0023,BGM.0023.2,BGM.0023.1,2336,10645,226,0.0212306
BGM-0023,BGM.0023.2,BGM.0023,2176,10805,224,0.0207311
BGM-0023,BGM.0023.1,BGM.0023,2212,10769,218,0.0202433
BGM-0028,BGM.0028.2,BGM.0028.1,3357,9624,3180,0.330424
BGM-0028,BGM.0028.2,BGM.0028,2139,10842,335,0.0308984
BGM-0028,BGM.0028.1,BGM.0028,3233,9748,3268,0.335248
BGM-0032,BGM.0032.2,BGM.0032.1,2045,10936,286,0.0261522
BGM-0032,BGM.0032.2,BGM.0032,1883,11098,281,0.0253199
BGM-0032,BGM.0032.1,BGM.0032,1970,11011,249,0.0226137
BGM-0042,BGM.0042.2,BGM.0042.1,2975,10006,3309,0.330702
BGM-0042,BGM.0042.2,BGM.0042,2130,10851,581,0.0535435
BGM-0042,BGM.0042.1,BGM.0042,2876,10105,3339,0.33043
BGM-0043,BGM.0043.1,BGM.0043,2096,10885,214,0.0196601
BGM-0060,BGM.0060.2,BGM.0060.1,2458,10523,2468,0.234534
BGM-0060,BGM.0060.2,BGM.0060,2457,10524,993,0.0943558
BGM-0060,BGM.0060.1,BGM.0060,2041,10940,2513,0.229707
BGM-0062,BGM.0062.2,BGM.0062.1,2876,10105,3354,0.331915
BGM-0062,BGM.0062.2,BGM.0062,1978,11003,259,0.023539
BGM-0062,BGM.0062.1,BGM.0062,2870,10111,3387,0.334982
BGM-0069,BGM.0069.2,BGM.0069.1,3136,9845,2973,0.301981
BGM-0069,BGM.0069.2,BGM.0069,2315,10666,484,0.0453778
BGM-0069,BGM.0069.1,BGM.0069,3213,9768,2870,0.293817
BGM-0082,BGM.0082.,BGM.0082,1641,11340,169,0.014903
BGM-0088,BGM.0088.2,BGM.0088.1,2322,10659,543,0.0509429
BGM-0088,BGM.0088.2,BGM.0088,2222,10759,527,0.0489822
BGM-0088,BGM.0088.1,BGM.0088,2229,10752,205,0.0190662
BGM-0090,BGM.0090.1,BGM.0090,2123,10858,487,0.0448517
