N,trial_name,acquisition_date,exported_tissue_sample_name,tissue_sample_name,well_A01,row_number,col_number,source_observation_unit_name,accession_name,synonyms,dna_person,notes,tissue_type,extraction,concentration,volume,is_blank,Observation_unit_name,DarTMatch
3589,BR-19-DArT-PL07,1/6/19,BR-19-DArT-PL07_B05|||4271,BR-19-DArT-PL07_B05,B05,B,5,BR.BAG.19.CNPMF.4271.485,4271,4271,EMBRAPA,NA,leaf,NA,NA,NA,0,4271,X4271
3558,BR-19-DArT-PL06,1/6/19,BR-19-DArT-PL06_G08|||01-Domingos-Martins,BR-19-DArT-PL06_G08,G08,G,8,BR.BAG.19.CNPMF.01-Domingos-Martins.437,01-Domingos-Martins,,EMBRAPA,NA,leaf,NA,NA,NA,0,01-Domingos-Martins,X01.Domingos.Martins
3530,BR-19-DArT-PL06,1/6/19,BR-19-DArT-PL06_E04|||01-DSL,BR-19-DArT-PL06_E04,E04,E,4,BR.BAG.19.CNPMF.01-DSL.403,01-DSL,01-DSL,EMBRAPA,NA,leaf,NA,NA,NA,0,01-DSL,X01.DSL
3507,BR-19-DArT-PL06,1/6/19,BR-19-DArT-PL06_C05|||01-RIVE,BR-19-DArT-PL06_C05,C05,C,5,BR.BAG.19.CNPMF.01-RIVE.409,01-RIVE,01-RIVE,EMBRAPA,NA,leaf,NA,NA,NA,0,01-RIVE,X01.RIVE
3542,BR-19-DArT-PL06,1/6/19,BR-19-DArT-PL06_F04|||01-UFES,BR-19-DArT-PL06_F04,F04,F,4,BR.BAG.19.CNPMF.01-UFES.404,01-UFES,01-UFES,EMBRAPA,NA,leaf,NA,NA,NA,0,01-UFES,X01.UFES
3569,BR-19-DArT-PL06,1/6/19,BR-19-DArT-PL06_H08|||02-DM,BR-19-DArT-PL06_H08,H08,H,8,BR.BAG.19.CNPMF.02-DM.438,02-DM,02-DM,EMBRAPA,NA,leaf,NA,NA,NA,0,02-DM,X02.DM
3519,BR-19-DArT-PL06,1/6/19,BR-19-DArT-PL06_D05|||02-RIVE,BR-19-DArT-PL06_D05,D05,D,5,BR.BAG.19.CNPMF.02-RIVE.410,02-RIVE,02-RIVE,EMBRAPA,NA,leaf,NA,NA,NA,0,02-RIVE,X02.RIVE
3487,BR-19-DArT-PL06,1/6/19,BR-19-DArT-PL06_A09|||03-DM,BR-19-DArT-PL06_A09,A09,A,9,BR.BAG.19.CNPMF.03-DM.439,03-DM,,EMBRAPA,NA,leaf,NA,NA,NA,0,03-DM,X03.DM
3531,BR-19-DArT-PL06,1/6/19,BR-19-DArT-PL06_E05|||03-RIVE,BR-19-DArT-PL06_E05,E05,E,5,BR.BAG.19.CNPMF.03-RIVE.411,03-RIVE,03-RIVE,EMBRAPA,NA,leaf,NA,NA,NA,0,03-RIVE,X03.RIVE
3565,BR-19-DArT-PL06,1/6/19,BR-19-DArT-PL06_H04|||03-UFES,BR-19-DArT-PL06_H04,H04,H,4,BR.BAG.19.CNPMF.03-UFES.406,03-UFES,03-UFES,EMBRAPA,NA,leaf,NA,NA,NA,0,03-UFES,X03.UFES
