N	trial_name	acquisition_date	exported_tissue_sample_name	tissue_sample_name	well_A01	row_number	col_number	source_observation_unit_name	accession_name	synonyms	dna_person	notes	tissue_type	extraction	concentration	volume	is_blank	Observation_unit_name	DarTMatch	FILE
1	3031	BR-19-DArT-PL01	6/1/19	BR-19-DArT-PL01_B11|||Aipim-Brasilia	BR-19-DArT-PL01_B11	B11	B	11	BR.BAG.19.CNPMF.Aipim-Brasilia.41	Aipim-Brasilia		EMBRAPA	NA	leaf	NA	NA	NA	0	Aipim-Brasilia	Aipim.Brasilia	D1
2	5016	BR.20.DArT.PL22	6/5/20	BR.20.DArT.PL22_C10|||Baianinha	BR.20.DArT.PL22_C10	C10	C	10	BR.20.SHBAGNew.CNPMF_Baianinha_41	Baianinha		Massaine	NA	leaf	CTAB	NA	NA	0	Baianinha	BR.20.DArT.PL22_C10...Baianinha	D1
3	1412	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_A02|||BGM-0004	EmbrapaBAG.Plate01_A02	A02	A	2	TP-BR-18-EMBRAPA-NextGen_BGM-0004_3_plant_1	BGM-0004	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0004	BGM.0004	D1
4	1413	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_A03|||BGM-0005	EmbrapaBAG.Plate01_A03	A03	A	3	TP-BR-18-EMBRAPA-NextGen_BGM-0005_4_plant_1	BGM-0005	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0005	BGM.0005	D1
5	1414	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_A04|||BGM-0006	EmbrapaBAG.Plate01_A04	A04	A	4	TP-BR-18-EMBRAPA-NextGen_BGM-0006_5_plant_1	BGM-0006	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0006	BGM.0006	D1
6	1415	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_A05|||BGM-0014	EmbrapaBAG.Plate01_A05	A05	A	5	TP-BR-18-EMBRAPA-NextGen_BGM-0014_6_plant_1	BGM-0014	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0014	BGM.0014	D1
7	2339	EmbrapaBAG.Plate09	6/26/18	EmbrapaBAG.Plate09_G11|||BGM-0017	EmbrapaBAG.Plate09_G11	G11	G	11	TP-BR-18-EMBRAPA-NextGen_BGM-0017_7_plant_1	BGM-0017		EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0017	BGM.0017	D1
8	1416	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_A06|||BGM-0018	EmbrapaBAG.Plate01_A06	A06	A	6	TP-BR-18-EMBRAPA-NextGen_BGM-0018_8_plant_1	BGM-0018	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0018	BGM.0018	D1
9	1417	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_A07|||BGM-0019	EmbrapaBAG.Plate01_A07	A07	A	7	TP-BR-18-EMBRAPA-NextGen_BGM-0019_9_plant_1	BGM-0019	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0019	BGM.0019	D1
10	1418	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_A08|||BGM-0020	EmbrapaBAG.Plate01_A08	A08	A	8	TP-BR-18-EMBRAPA-NextGen_BGM-0020_10_plant_1	BGM-0020	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0020	BGM.0020	D1
11	1419	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_A09|||BGM-0021	EmbrapaBAG.Plate01_A09	A09	A	9	TP-BR-18-EMBRAPA-NextGen_BGM-0021_11_plant_1	BGM-0021	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0021	BGM.0021	D1
12	3437	BR-19-DArT-PL05	6/1/19	BR-19-DArT-PL05_E05|||BGM-0022	BR-19-DArT-PL05_E05	E05	E	5	BR.BAG.19.CNPMF.BGM-0022.317	BGM-0022		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0022	BGM.0022	D1
13	3141	BR-19-DArT-PL02	6/1/19	BR-19-DArT-PL02_D03|||BGM-0022-TB	BR-19-DArT-PL02_D03	D03	D	3	BR.BAG.19.CNPMF.BGM-0022-TB.151	BGM-0022-TB		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0022-TB	BGM.0022.TB	D1
14	3142	BR-19-DArT-PL02	6/1/19	BR-19-DArT-PL02_D04|||BGM-0022-TR	BR-19-DArT-PL02_D04	D04	D	4	BR.BAG.19.CNPMF.BGM-0022-TR.152	BGM-0022-TR		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0022-TR	BGM.0022.TR	D1
15	3143	BR-19-DArT-PL02	6/1/19	BR-19-DArT-PL02_D05|||BGM-0023	BR-19-DArT-PL02_D05	D05	D	5	BR.BAG.19.CNPMF.BGM-0023.153	BGM-0023		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0023	BGM.0023.1	D1
16	1422	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_A12|||BGM-0024	EmbrapaBAG.Plate01_A12	A12	A	12	TP-BR-18-EMBRAPA-NextGen_BGM-0024_16_plant_1	BGM-0024	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0024	BGM.0024	D1
17	1423	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_B01|||BGM-0025	EmbrapaBAG.Plate01_B01	B01	B	1	TP-BR-18-EMBRAPA-NextGen_BGM-0025_17_plant_1	BGM-0025	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0025	BGM.0025	D1
18	1424	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_B02|||BGM-0027	EmbrapaBAG.Plate01_B02	B02	B	2	TP-BR-18-EMBRAPA-NextGen_BGM-0027_18_plant_1	BGM-0027	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0027	BGM.0027	D1
19	3144	BR-19-DArT-PL02	6/1/19	BR-19-DArT-PL02_D06|||BGM-0028	BR-19-DArT-PL02_D06	D06	D	6	BR.BAG.19.CNPMF.BGM-0028.154	BGM-0028		EMBRAPA	NA	leaf	NA	NA	NA	0	BGM-0028	BGM.0028.1	D1
20	1426	EmbrapaBAG.Plate01	6/26/18	EmbrapaBAG.Plate01_B04|||BGM-0029	EmbrapaBAG.Plate01_B04	B04	B	4	TP-BR-18-EMBRAPA-NextGen_BGM-0029_20_plant_1	BGM-0029	NA	EMBRAPA	NA	Leaf	NA	NA	NA	0	BGM-0029	BGM.0029	D1
