x	uniquename_in_db	FILE
1	A_BRASILIA:250581741	Aipim-Brasilia	G1
2	Baianinha:250437477	Baianinha	G1
3	CNPMF4:250370278	BGM-0004	G1
4	CNPMF5:250370279	BGM-0005	G1
5	CNPMF6:250370290	BGM-0006	G1
6	CNPMF14:250370314	BGM-0014	G1
7	BGM0017:250494241	BGM-0017	G1
8	CNPMF18:250370326	BGM-0018	G1
9	CNPMF19:250370327	BGM-0019	G1
10	BRA29:250327452	BGM-0020	G1
11	CACHIMBO	BGM-0021	G1
12	CNPMF22:250370256	BGM-0022	G1
13	BGM0022taloBranco:250494234	BGM-0022-TB	G1
14	BGM0022taloroxo:250494242	BGM-0022-TR	G1
15	BGM0023:250437172	BGM-0023	G1
16	BGM0024:250437180	BGM-0024	G1
17	CNPMF25:250370269	BGM-0025	G1
18	CNPMF27:250370280	BGM-0027	G1
19	CNPMF28:250370281	BGM-0028	G1
20	CNPMF29:250370292	BGM-0029	G1
21	CNPMF30:250370293	BGM-0030	G1
22	CNPMF31:250370304	BGM-0031	G1
23	CNPMF32:250370305	BGM-0032	G1
24	CNPMF36:250370328	BGM-0036	G1
25	CNPMF37:250370329	BGM-0037	G1
26	CNPMF39:250370246	BGM-0039	G1
27	BRA499:250327472	BGM-0040	G1
28	CNPMF42:250370259	BGM-0042	G1
29	BRA834:250327478	BGM-0043	G1
30	CNPMF44:250370271	BGM-0044	G1
31	CNPMF46:250370283	BGM-0046	G1
32	CNPMF47:250370294	BGM-0047	G1
33	CNPMF48:250370295	BGM-0048	G1
34	CNPMF49:250370306	BGM-0049	G1
35	CNPMF50:250370307	BGM-0050	G1
36	CNPMF52:250370319	BGM-0052	G1
37	CNPMF53:250370330	BGM-0053	G1
38	CNPMF54:250370331	BGM-0054	G1
39	CNPMF56:250370248	BGM-0056	G1
40	CNPMF58:250370260	BGM-0058	G1
41	CNPMF60:250370261	BGM-0060	G1
42	CNPMF61:250370272	BGM-0061	G1
43	CNPMF62:250370273	BGM-0062	G1
44	BGM0063:250437173	BGM-0063	G1
45	CNPMF65:250370285	BGM-0065	G1
46	CNPMF66:250370296	BGM-0066	G1
47	CNPMF67:250370297	BGM-0067	G1
48	CNPMF69:250370308	BGM-0069	G1
49	CNPMF70:250370309	BGM-0070	G1
50	CNPMF73:250370320	BGM-0073	G1
51	CNPMF75:250370332	BGM-0075	G1
52	BRA172:250327458	BGM-0076	G1
53	CNPMF80:250370250	BGM-0080	G1
54	CNPMF82:250370251	BGM-0082	G1
55	CNPMF83:250370262	BGM-0083	G1
56	CNPMF84:250370263	BGM-0084	G1
57	CNPMF85:250370274	BGM-0085	G1
58	CNPMF87:250370275	BGM-0087	G1
59	CNPMF88:250370286	BGM-0088	G1
60	CNPMF89:250370287	BGM-0089	G1
61	CNPMF90:250370298	BGM-0090	G1
62	CNPMF91:250370299	BGM-0091	G1
63	CNPMF93:250370310	BGM-0093	G1
64	CNPMF96:250370322	BGM-0096	G1
65	CNPMF97:250370323	BGM-0097	G1
66	CNPMF98:250370334	BGM-0098	G1
67	CNPMF100:250370335	BGM-0100	G1
68	BRA146:250327457	BGM-0106	G1
69	CNPMF115:250370276	BGM-0115	G1
70	BGM0115TaloBranco:250437860	BGM-0115-TB	G1
71	BGM0115TaloRoxo:250437867	BGM-0115-TR	G1
72	CNPMF116:250370277	BGM-0116	G1
73	BRA842:250327480	BGM-0119	G1
74	CNPMF120:250370300	BGM-0120	G1
75	CNPMF121:250370301	BGM-0121	G1
76	CNPMF123:250370313	BGM-0123	G1
77	CNPMF124:250370324	BGM-0124	G1
78	CNPMF126:250370325	BGM-0126	G1
79	BRA847:250327482	BGM-0128	G1
80	CNPMF130:250370369	BGM-0130	G1
81	CNPMF131:250370381	BGM-0131	G1
82	CNPMF132:250370382	BGM-0132	G1
83	CNPMF133:250370393	BGM-0133	G1
84	CNPMF134:250370394	BGM-0134	G1
85	CNPMF135:250370405	BGM-0135	G1
86	CNPMF136:250370406	BGM-0136	G1
87	CNPMF137:250370417	BGM-0137	G1
88	CNPMF138:250370418	BGM-0138	G1
89	BGM0140:250437175	BGM-0140	G1
90	CNPMF143:250370429	BGM-0143	G1
91	CNPMF144:250370430	BGM-0144	G1
92	CNPMF145:250370441	BGM-0145	G1
93	CNPMF150:250370371	BGM-0150	G1
94	CNPMF151:250370372	BGM-0151	G1
95	CNPMF152:250370383	BGM-0152	G1
96	CNPMF155:250370395	BGM-0155	G1
97	CNPMF156:250370396	BGM-0156	G1
98	CNPMF157:250370407	BGM-0157	G1
99	CNPMF160:250370419	BGM-0160	G1
100	CNPMF161:250370420	BGM-0161	G1
101	CNPMF162:250370431	BGM-0162	G1
102	CNPMF163:250370432	BGM-0163	G1
103	CNPMF164:250370443	BGM-0164	G1
104	CNPMF165:250370444	BGM-0165	G1
105	CNPMF166:250370455	BGM-0166	G1
106	CNPMF167:250370456	BGM-0167	G1
107	CNPMF168:250370373	BGM-0168	G1
108	CNPMF169:250370374	BGM-0169	G1
109	CNPMF170:250370385	BGM-0170	G1
110	CNPMF171:250370386	BGM-0171	G1
111	CNPMF174:250370397	BGM-0174	G1
112	CNPMF177:250370409	BGM-0177	G1
113	CNPMF179:250370421	BGM-0179	G1
114	CNPMF182:250370433	BGM-0182	G1
115	CNPMF184:250370445	BGM-0184	G1
116	CNPMF185:250370446	BGM-0185	G1
117	CNPMF186:250370457	BGM-0186	G1
118	CNPMF187:250370458	BGM-0187	G1
119	CNPMF188:250370375	BGM-0188	G1
120	CNPMF189:250370376	BGM-0189	G1
121	CNPMF190:250370387	BGM-0190	G1
122	BGM0195:250437183	BGM-0195	G1
123	CNPMF199:250370388	BGM-0199	G1
124	CNPMF201:250370399	BGM-0201	G1
125	BGM0202:250437176	BGM-0202	G1
126	CNPMF204:250370400	BGM-0204	G1
127	CNPMF207:250370412	BGM-0207	G1
128	CNPMF208:250370423	BGM-0208	G1
129	CNPMF209:250370424	BGM-0209	G1
130	CNPMF210:250370435	BGM-0210	G1
131	CNPMF211:250370436	BGM-0211	G1
132	CNPMF212:250370447	BGM-0212	G1
133	CNPMF213:250370448	BGM-0213	G1
134	CNPMF214:250370459	BGM-0214	G1
135	CNPMF215:250370460	BGM-0215	G1
