NamesGBS,NamesDArT,DST,PI_HAT
BGM1255:250494278,BGM.1255,0.969027,0.8275
BRA834:250327478,BGM.0043,0.955947,0.8301
ECU72:250327610,ECU72,0.968539,0.87
BRA125:250327455,BGM.0281,0.967857,0.8012
BGM0967:250494240,BGM.0967,0.970588,0.8866
SE_03:250581759,SE.3,0.950746,0.7755
BRA468:250327470,BGM.0945,0.950935,0.7351
BGM1728:250494282,BGM.1728,0.962264,0.8102
BGM1160:250494277,BGM.1160,0.92446,0.6809
BGM0022taloBranco:250494234,BGM.0022.TB.1,0.979592,0.9213
BGM650:250494276,BGM.0650,0.95082,0.7787
BGM0971:250494247,BGM.0971,0.964286,0.7395
BGM1580:250494269,BGM.1580,0.975655,0.8547
BGM0252:250581762,BGM.0252,0.966592,0.8235
BGM2121:250581757,BGM.2121,0.978205,0.9061
SE_01:250581740,SE.1,0.93949,0.7298
BRA1173:250327492,BGM.1077,0.945531,0.6973
BGM1253:250494285,BR.SET1.18.BGM.1253.1.178,0.962162,0.8541
BGM1310:250494286,BGM.1310,0.955056,0.8267
BGM0022taloroxo:250494242,BGM.0022.T.Rx,0.939759,0.7212
BGM0374:250581772,BGM.0374,0.963028,0.8574
BGM1335:250494287,BGM.1335,0.950355,0.8085
JOSELITOA2:250581744,BGM.2294,0.975687,0.8981
SE_02:250581748,SE.2,0.948097,0.7731
BGM2019CMeBag4:250494266,BGM.2019,0.976,0.9074
BGM0017:250494241,BGM.0017,0.940678,0.7712
SE_09:250581756,SE.09,0.965602,0.8389
BRA134:250327456,BGM.0260,0.958537,0.8213
BGM1348:250437351,BGM.1348,0.965909,0.8393
CNPMF1567:250407008,BGM.1567,0.940367,0.6724
CNPMF58:250370260,BGM.0058,0.966165,0.8695
BGM1053:250437328,BGM.1053,0.961111,0.85
CNPMF532:250370631,BGM.0532,0.95,0.679
CNPMF1957:250380464,BGM.1957,0.908654,0.5735
CNPMF106:250370264,BGM.0106,0.962264,0.7099
CNPMF100:250370335,BGM.0100,0.952632,0.7767
CNPMF395:250370541,BGM.0395,0.945783,0.7444
CNPMF400:250370565,BGM.0400,0.94697,0.6111
CNPMF1810:250380414,BGM.1810,0.916667,0.5751
CNPMF67:250370297,BGM.0067,0.960784,0.7015
CNPMF52:250370319,BGM.0052,0.939189,0.7134
2014_010_11,BR.20.DArT.PL22_E07...BR.14.010.11,0.974453,0.8827
BGM1044:250437327,BGM.1044,0.945783,0.7909
CNPMF541:250370667,BGM.0541,0.961538,1
CNPMF1408:250372174,BGM.1408,0.958333,0.8101
CNPMF1422:250372151,BGM.1422,0.953416,0.7577
CNPMF475:250370628,BGM.0475,0.928571,0.7245
CNPMF386:250370505,BGM.0386,0.936047,0.5709
CNPMF1880:250380440,BGM.1880,0.934783,0.6679
CNPMF1413:250372198,BGM.1413,0.967213,0.8736
CNPMF5:250370279,BGM.0005,0.964286,0.8623
CNPMF484:250370652,BGM.0484,0.95098,0.6839
CNPMF352:250370572,BGM.0352,0.931034,0.734
BGM0973:250437252,BGM.0973,0.935811,0.7264
CNPMF1397:250372220,BGM.1397,0.992958,0.9728
CNPMF449:250370696,BGM.0449,0.944444,0.7857
CNPMF1472:250372225,BGM.1472,0.946237,0.7512
CNPMF1420:250372234,BGM.1420,0.945652,0.7694
CNPMF70:250370309,BGM.0070,0.957627,0.8366
CNPMF316:250370547,BGM.0316,0.941176,0.6042
BGM1722_D_:250437393,BGM.1722.D.,0.958333,1
BGM0930:250437219,BGM.0930,0.961929,0.8336
BGM0986:250437266,BGM.0986,0.979452,0.8681
BGM0609:250437197,BGM.0609,0.967492,0.8507
CNPMF536:250370643,BGM.0536,0.964286,0.8623
CNPMF463:250370661,BGM.0463,0.949153,0.7028
Verdinha:250380491,BRS.Verdinha,0.945545,0.7518
BGM0996:250437309,BGM.0996,0.972222,0.8258
CNPMF399:250370564,BGM.0399,0.94697,0.7157
CNPMF1980:250380477,BGM.1980,0.943299,0.6609
CNPMF1609:250406964,BGM.1609,0.942748,0.7058
CNPMF115:250370276,BGM.0115,0.971963,0.8243
CNPMF509:250370654,BGM.0509,0.935185,0.75
CNPMF20:250370244,BGM.0020,0.934343,0.6442
CNPMF330:250370500,BGM.0330,0.980132,0.9234
CNPMF557:250370646,BGM.0557,0.95,0.6451
CNPMF303:250370510,BGM.0303,0.955056,0.8267
PotiBranca:250380449,BRS.Poti.Branca,0.963768,0.7522
CNPMF1866:250380416,BGM.1866,0.98913,0.9581
CNPMF90:250370298,BGM.0090.1,0.961039,0.8497
CNPMF1527:250406982,BGM.1527,0.95122,0.7131
CNPMF2032:250380455,BGM.2032,0.950495,0.8091
DONA_DIVA,BGM.2340,0.967963,0.8588
BGM0942:250437231,BGM.0942,0.953804,0.7776
CNPMF1414:250372209,BGM.1414,0.93609,0.7535
CNPMF551:250370716,BGM.0551,0.957143,0.8347
BGM0925:250437209,BGM.0925,0.940909,0.7721
CNPMF480:250370651,BGM.0480,0.923913,0.7066
BGM0202:250437176,BGM.0202,0.969298,0.8816
CNPMF567:250370694,BGM.0567,0.97619,0.9082
BGM0063:250437173,BGM.0063,0.957265,0.8352
CNPMF1563:250406996,BGM.1563,0.954545,0.6802
CNPMF364:250370526,BGM.0364,0.939655,0.7673
BGM1502_M_:250437377,BGM.1502.M..1,0.9625,1
CNPMF1515:250372229,BGM.1515,0.964286,0.8623
CNPMF304:250370511,BGM.0304,0.991071,0.9656
CNPMF360:250370503,BR.SET1.18.BGM.0360.1.103,0.963303,0.8153
CNPMF1499:250372170,BGM.1499,0.911765,0.5841
CNPMF2022:250380430,BGM.2022,0.947761,0.7195
CNPMF1657:250406991,BGM.1657,0.950413,0.8088
CNPMF73:250370320,BGM.0073,0.960526,0.8478
CNPMF1784:250380402,BGM.1784.1,0.982866,0.9339
CNPMF467:250370674,BGM.0467,0.919355,0.689
CNPMF1415:250372210,BGM.1415,0.958564,0.7831
CNPMF1878:250380429,BGM.1878,0.902778,0.5152
BGM1031:250437316,BGM.1031,0.987395,0.9514
CNPMF1466:250372213,BGM.1466,0.951327,0.7782
CNPMF119:250370289,BGM.0119,0.961039,0.764
CNPMF89:250370287,BGM.0089,0.970588,0.8866
BGM0937:250437222,BGM.0937,0.968553,0.8545
CNPMF451:250370708,BGM.0451,0.988372,0.9552
BGM0952:250437236,BGM.0952,0.95279,0.7513
CNPMF2018:250380418,BR.SET1.18.BGM.2018.1.20,0.935065,1
CNPMF1153:250380444,BGM.1153,0.961864,0.8202
CNPMF435:250370623,BGM.0435,0.916667,0.5339
FilhaPreta:250380473,BGM.2100,0.962085,0.8355
CNPMF1626:250406965,BR.SET1.18.BGM.1626.1.119,0.944444,0.6519
CNPMF425:250370566,BGM.0425,0.951389,0.7374
CNPMF1457:250372190,BGM.1457,0.920139,0.6384
BGM1671:250437392,BGM.1671,0.960432,0.8474
CNPMF1615:250406999,BGM.1615,0.980263,0.9239
CNPMF426:250370567,BGM.0426.1,0.985714,0.9449
BGM0993:250437300,BGM.0993,0.936047,0.7534
BGM0024:250437180,BGM.0024,0.959375,0.8433
CNPMF307:250370523,BGM.0307,0.977941,0.9149
CNPMF286:250370544,BGM.0286,0.938356,0.7094
CNPMF359:250370502,BGM.0359,0.925532,0.6148
BGM0982:250437264,BGM.0982,0.952899,1
CNPMF1811:250380457,BGM.1811,0.97561,0.9059
MANZHITIL,Manzhitil,0.927852,0.6829
CNPMF1549:250406959,BGM.1549,0.955556,0.7352
CNPMF1429:250372163,BGM.1429,0.947674,0.7534
CNPMF542:250370668,BGM.0542,0.946809,0.7949
CNPMF436:250370624,BGM.0436,0.977612,0.9137
CNPMF1619:250407012,BGM.1619,0.959596,0.8442
CNPMF1621:250407024,BGM.1621,0.96875,0.8422
CNPMF80:250370250,BGM.0080,0.958678,0.7241
CNPMF289:250370557,BGM.0289,0.916667,0.5751
CNPMF544:250370680,BGM.0544,0.953704,0.8215
CNPMF1444:250372212,BGM.1444,0.925926,0.7143
CNPMF1606:250406951,BGM.1606,0.960784,0.8488
CNPMF478:250370640,BGM.0478,0.942308,0.7775
BGM1349:250437359,BGM.1349,0.963964,0.8186
BGM0140:250437175,BGM.0140,0.958763,0.841
CNPMF1608:250406963,BGM.1608,0.953782,0.8218
BGM0981:250437256,BGM.0981.2,0.960744,0.7276
CNPMF1407:250372173,BGM.1407,0.970199,0.8851
BGM1029:250437323,BGM.1029,0.936937,0.6074
CNPMF489:250370663,BGM.0489,0.990385,0.9629
CNPMF1631:250406989,BGM.1631,0.952586,0.7839
BGM0974:250437260,BGM.0974,0.940741,0.7429
CNPMF1579:250407031,BGM.1579,0.935484,0.7263
CNPMF96:250370322,BGM.0096,0.958333,0.8393
CNPMF383:250370504,BGM.0383,0.945513,0.7651
BGM2095,BGM.2095.2,0.968558,0.8669
CNPMF82:250370251,BGM.0082.,0.948905,0.7748
BGM0976:250437261,BGM.0976,0.950292,0.7857
CNPMF1666:250407027,BGM.1666,0.964706,0.7838
CNPMF1446:250372223,BGM.1446,0.978261,0.9162
CNPMF1643:250407037,BGM.1643,0.957627,0.8366
CNPMF1594:250406985,BGM.1594,0.959459,0.7123
CNPMF380:250370586,BGM.0380,0.924528,0.6296
CNPMF30:250370293,BGM.0030,0.929825,0.5575
CNPMF116:250370277,BGM.0116,0.947917,0.6687
BGM1027:250437322,BGM.1027,0.927083,0.6786
CNPMF287:250370545,BGM.0287,0.955882,0.8299
CNPMF126:250370325,BGM.0126,0.959677,0.8445
