INDV,INDV1,INDV2,N_NA,N_COMMON_CALLED,N_DISCORD,DISCORDANCE
BGM-0005,CNPMF5:250370279,BGM.0005,1052,508,81,0.159449
BGM-0006,CNPMF6:250370290,BGM.0006,990,570,76,0.133333
BGM-0014,CNPMF14:250370314,BGM.0014,1024,536,83,0.154851
BGM-0017,BGM0017:250494241,BGM.0017,794,766,108,0.140992
BGM-0018,CNPMF18:250370326,BGM.0018,990,570,69,0.121053
BGM-0019,CNPMF19:250370327,BGM.0019,972,588,72,0.122449
BGM-0020,CNPMF20:250370244,BGM.0020,937,623,76,0.12199
BGM-0021,CACHIMBO,BGM.0021,757,803,95,0.118306
BGM-0021,CNPMF21:250370245,BGM.0021,940,620,86,0.13871
BGM-0022-TB,BGM0022taloBranco:250494234,BGM.0022.TB,837,723,95,0.131397
BGM-0022-TB,BGM0022taloBranco:250494234,BGM.0022.TB.1,835,725,94,0.129655
BGM-0022-TB,BGM0022taloBranco:250494234,BGM.0022.T.Bco,826,734,101,0.137602
BGM-0022-TR,BGM0022taloroxo:250494242,BGM.0022.TR.1,817,743,116,0.156124
BGM-0022-TR,BGM0022taloroxo:250494242,BGM.0022.T.Rx,811,749,110,0.146862
BGM-0024,BGM0024:250437180,BGM.0024,767,793,104,0.131148
BGM-0024,CNPMF24:250370268,BGM.0024,986,574,80,0.139373
BGM-0027,CNPMF27:250370280,BGM.0027,1157,403,59,0.146402
BGM-0029,CNPMF29:250370292,BGM.0029,998,562,83,0.147687
BGM-0030,CNPMF30:250370293,BGM.0030,1088,472,76,0.161017
BGM-0031,CNPMF31:250370304,BGM.0031,1007,553,76,0.137432
BGM-0036,CNPMF36:250370328,BGM.0036,1104,456,90,0.197368
BGM-0037,CNPMF37:250370329,BGM.0037,1043,517,85,0.16441
BGM-0039,CNPMF39:250370246,BGM.0039,900,660,75,0.113636
BGM-0040,CNPMF40:250370247,BGM.0040,1068,492,48,0.097561
BGM-0042,CNPMF42:250370259,BGM.0042.1,1117,443,66,0.148984
BGM-0043,BRA834:250327478,BGM.0043,685,875,114,0.130286
BGM-0043,BRA834:250327478,BGM.0043.1,709,851,117,0.137485
BGM-0043,CNPMF43:250370270,BGM.0043,1089,471,70,0.14862
BGM-0043,CNPMF43:250370270,BGM.0043.1,1113,447,68,0.152125
BGM-0044,CNPMF44:250370271,BGM.0044,925,635,76,0.119685
BGM-0046,CNPMF46:250370283,BR.SET1.18.BGM.0046.1.181,1054,506,79,0.156126
BGM-0048,CNPMF48:250370295,BR.SET1.18.BGM.0048.1.160,1029,531,64,0.120527
BGM-0049,CNPMF49:250370306,BGM.0049,1065,495,73,0.147475
BGM-0050,CNPMF50:250370307,BGM.0050,1121,439,64,0.145786
BGM-0052,CNPMF52:250370319,BGM.0052,1030,530,65,0.122642
BGM-0054,CNPMF54:250370331,BGM.0054,1055,505,61,0.120792
BGM-0056,CNPMF56:250370248,BGM.0056,1032,528,84,0.159091
BGM-0058,CNPMF58:250370260,BGM.0058,863,697,103,0.147776
BGM-0061,CNPMF61:250370272,BGM.0061,993,567,69,0.121693
BGM-0062,CNPMF62:250370273,BGM.0062.1,1032,528,75,0.142045
BGM-0063,BGM0063:250437173,BGM.0063,889,671,80,0.119225
BGM-0065,CNPMF65:250370285,BGM.0065,985,575,84,0.146087
BGM-0066,CNPMF66:250370296,BGM.0066,853,707,65,0.0919378
BGM-0067,CNPMF67:250370297,BGM.0067,986,574,71,0.123693
BGM-0070,CNPMF70:250370309,BGM.0070,1097,463,57,0.12311
BGM-0073,CNPMF73:250370320,BGM.0073,968,592,58,0.097973
BGM-0075,CNPMF75:250370332,BGM.0075,1117,443,75,0.1693
BGM-0076,BRA172:250327458,BGM.0076,675,885,129,0.145763
BGM-0076,CNPMF76:250370333,BGM.0076,893,667,91,0.136432
