INDV,INDV1,INDV2,N_NA,N_COMMON_CALLED,N_DISCORD,DISCORDANCE
BGM-0021,CACHIMBO,BGM.0021,757,803,95,0.118306
BGM-0021,CNPMF21:250370245,BGM.0021,940,620,86,0.13871
BGM-0022-TB,BGM0022taloBranco:250494234,BGM.0022.TB.1,835,725,94,0.129655
BGM-0022-TB,BGM0022taloBranco:250494234,BGM.0022.TB,837,723,95,0.131397
BGM-0022-TB,BGM0022taloBranco:250494234,BGM.0022.T.Bco,826,734,101,0.137602
BGM-0022-TR,BGM0022taloroxo:250494242,BGM.0022.T.Rx,811,749,110,0.146862
BGM-0022-TR,BGM0022taloroxo:250494242,BGM.0022.TR.1,817,743,116,0.156124
BGM-0024,BGM0024:250437180,BGM.0024,767,793,104,0.131148
BGM-0024,CNPMF24:250370268,BGM.0024,986,574,80,0.139373
BGM-0043,BRA834:250327478,BGM.0043,685,875,114,0.130286
BGM-0043,BRA834:250327478,BGM.0043.1,709,851,117,0.137485
BGM-0043,CNPMF43:250370270,BGM.0043,1089,471,70,0.14862
BGM-0043,CNPMF43:250370270,BGM.0043.1,1113,447,68,0.152125
BGM-0076,CNPMF76:250370333,BGM.0076,893,667,91,0.136432
BGM-0076,BRA172:250327458,BGM.0076,675,885,129,0.145763
BGM-0082,CNPMF82:250370251,BGM.0082.,965,595,84,0.141176
BGM-0082,CNPMF82:250370251,BGM.0082,975,585,87,0.148718
BGM-0090,CNPMF90:250370298,BGM.0090.1,1131,429,65,0.151515
BGM-0090,CNPMF90:250370298,BGM.0090,1097,463,82,0.177106
BGM-0096,CNPMF96:250370322,BGM.0096,1156,404,54,0.133663
BGM-0096,CNPMF96:250370322,BGM.0096.1,1183,377,52,0.137931
BGM-0115,CNPMF115:250370276,BGM.0115,991,569,69,0.121265
BGM-0115,CNPMF115:250370276,BGM.0115.1,1003,557,72,0.129264
BGM-0115-TB,BGM0115TaloBranco:250437860,BGM.0115.TB.1,813,747,94,0.125837
BGM-0115-TB,BGM0115TaloBranco:250437860,BGM.0115.TB,817,743,97,0.130552
BGM-0115-TR,BGM0115TaloRoxo:250437867,BGM.0115.TR,792,768,90,0.117188
BGM-0115-TR,BGM0115TaloRoxo:250437867,BGM.0115.TR.1,826,734,90,0.122616
BGM-0120,PAULO_ROSA,BGM.0120,857,703,100,0.142248
BGM-0120,CNPMF120:250370300,BGM.0120,982,578,88,0.152249
BGM-0120,PauloRosa:250437619,BGM.0120,831,729,112,0.153635
BGM-0150,CNPMF150:250370371,BGM.0150,854,706,92,0.130312
BGM-0150,CNPMF150:250370371,BGM.0150.1,880,680,90,0.132353
BGM-0152,CNPMF152:250370383,BGM.0152,794,766,88,0.114883
BGM-0152,CNPMF152:250370383,BGM.0152.1,814,746,93,0.124665
BGM-0162,CNPMF162:250370431,BGM.0162,1013,547,78,0.142596
BGM-0162,CNPMF162:250370431,BGM.0162.1,846,714,105,0.147059
BGM-0177,CNPMF177:250370409,BGM.0177,840,720,95,0.131944
BGM-0177,CNPMF177:250370409,BGM.0177.1,846,714,96,0.134454
BGM-0182,CNPMF182:250370433,BGM.0182.1,956,604,74,0.122517
BGM-0182,CNPMF182:250370433,BGM.0182,938,622,77,0.123794
BGM-0209,CNPMF209:250370424,BGM.0209,776,784,106,0.135204
BGM-0209,CNPMF209:250370424,BGM.0209.1,816,744,113,0.151882
BGM-0252,BGM0252:250581762,BGM.0252,671,889,93,0.104612
BGM-0252,AIPIM_MANTEIGA,BGM.0252,588,972,113,0.116255
BGM-0257,CNPMF257:250370403,BGM.0257.1,921,639,101,0.158059
BGM-0257,CNPMF257:250370403,BGM.0257,904,656,113,0.172256
BGM-0260,BRA134:250327456,BGM.0260,366,1194,114,0.0954774
BGM-0260,BRA134:250327456,BR.20.DArT.PL22_E10...BGM.0260,402,1158,124,0.107081
BGM-0260,CNPMF260:250370404,BGM.0260,870,690,99,0.143478
BGM-0260,CNPMF260:250370404,BR.20.DArT.PL22_E10...BGM.0260,891,669,99,0.147982
BGM-0270,Paraguai:250437625,BGM.0270,893,667,69,0.103448
BGM-0270,CNPMF270:250370451,BGM.0270,816,744,77,0.103495
BGM-0281,BRA125:250327455,BGM.0281,614,946,97,0.102537
BGM-0281,CNPMF281:250370509,BGM.0281,955,605,69,0.11405
BGM-0290,CNPMF290:250370568,BGM.0290.1,1038,522,61,0.116858
BGM-0290,CNPMF290:250370568,BGM.0290.2,1048,512,60,0.117188
BGM-0290,CNPMF290:250370568,BGM.0290.3,1049,511,61,0.119374
BGM-0290,CNPMF290:250370568,BGM.0290,1020,540,66,0.122222
BGM-0374,BGM0374:250581772,BGM.0374,619,941,110,0.116897
BGM-0374,CNPMF374:250370562,BGM.0374,1001,559,72,0.128801
BGM-0428,CNPMF428:250370579,BGM.0428,1009,551,88,0.15971
BGM-0428,CNPMF428:250370579,BGM.0428.1,1028,532,85,0.159774
BGM-0452,CNPMF452:250370625,BGM.0452,1152,408,68,0.166667
BGM-0452,CNPMF452:250370625,BGM.0452.1,1184,376,67,0.178191
BGM-0465,CNPMF465:250370673,BGM.0465,1152,408,54,0.132353
BGM-0465,CNPMF465:250370673,BGM.0465.1,1184,376,50,0.132979
BGM-0542,CNPMF542:250370668,BGM.0542,1101,459,79,0.172113
BGM-0542,CNPMF542:250370668,BGM.0542.1,1153,407,74,0.181818
BGM-0543,CNPMF543:250370679,BGM.0543,1150,410,74,0.180488
BGM-0543,CNPMF543:250370679,BGM.0543.1,1178,382,70,0.183246
BGM-0611,CNPMF611:250370764,BGM.0611,869,691,67,0.0969609
BGM-0611,BGM0611:250437190,BGM.0611,867,693,79,0.113997
BGM-0655,CNPMF655:250370839,BGM.0655.1,994,566,77,0.136042
BGM-0655,CNPMF655:250370839,BGM.0655,979,581,80,0.137694
BGM-0673,CNPMF673:250370758,BGM.0673,927,633,91,0.14376
BGM-0673,CNPMF673:250370758,BGM.0673.1,975,585,88,0.150427
BGM-0805,CNPMF805:250370880,BGM.0805,788,772,87,0.112694
BGM-0805,CNPMF805:250370880,BGM.0805.1,853,707,86,0.121641
BGM-0807,CNPMF807:250370892,BGM.0807,863,697,91,0.13056
BGM-0807,CNPMF807:250370892,BGM.0807.1,904,656,88,0.134146
BGM-0817,CNPMF817:250370952,BGM.0817,819,741,86,0.116059
BGM-0817,BRA1016:250327488,BGM.0817,682,878,103,0.117312
BGM-0830,BGM0830:250437193,BGM.0830,798,762,94,0.12336
BGM-0830,BGM0830:250437193,BGM.0830.1,817,743,101,0.135935
BGM-0830,CNPMF830:250370918,BGM.0830,869,691,98,0.141823
BGM-0830,CNPMF830:250370918,BGM.0830.1,889,671,100,0.149031
BGM-0846,CNPMF846:250370884,BGM.0846.1,1021,539,78,0.144712
BGM-0846,CNPMF846:250370884,BGM.0846,1000,560,103,0.183929
BGM-0854,CNPMF854:250370920,BGM.0854,830,730,86,0.117808
BGM-0854,BGM0854:250437202,BGM.0854,797,763,103,0.134993
BGM-0872,CNPMF872:250370886,BGM.0872,822,738,91,0.123306
BGM-0872,BRA327:250327463,BGM.0872,638,922,128,0.138829
BGM-0944,BGM0944:250437232,BGM.0944,828,732,91,0.124317
BGM-0944,BGM0944:250437232,BGM.0944.1,875,685,97,0.141606
BGM-0945,BRA468:250327470,BGM.0945,510,1050,95,0.0904762
BGM-0945,BGM0945:250437225,BGM.0945,826,734,87,0.118529
BGM-0954,BGM0954:250437237,BGM.0954,765,795,82,0.103145
BGM-0954,BRA1320:250327494,BGM.0954,820,740,88,0.118919
BGM-0972,BGM0972:250437259,BGM.0972,778,782,93,0.118926
BGM-0972,BGM0972:250437259,BGM.0972.1,795,765,91,0.118954
BGM-0976,BGM0976:250437261,BGM.0976,762,798,101,0.126566
BGM-0976,BGM0976:250437261,BGM.0976.1,804,756,96,0.126984
BGM-0981,BGM0981:250437256,BGM.0981.2,859,701,80,0.114123
BGM-0981,BGM0981:250437256,BGM.0981.1,894,666,79,0.118619
BGM-1025,BGM1025:250437313,BGM.1025.1,978,582,74,0.127148
BGM-1025,BGM1025:250437313,BGM.1025,951,609,92,0.151067
BGM-1077,BRA1173:250327492,BGM.1077,537,1023,110,0.107527
BGM-1077,BGM1077:250437333,BGM.1077,894,666,90,0.135135
BGM-1148,Abacate:250437470,BGM.1148.1,818,742,116,0.156334
BGM-1148,CNPMF1148:250371093,BGM.1148.1,952,608,104,0.171053
BGM-1262,CNPMF1262:250372034,BGM.1262,908,652,72,0.110429
BGM-1262,CNPMF1262:250372034,BGM.1262.1,950,610,74,0.121311
BGM-1294,CNPMF1294:250372084,BGM.1294.1,1010,550,87,0.158182
BGM-1294,CNPMF1294:250372084,BGM.1294,970,590,115,0.194915
BGM-1348,BGM1348:250437351,BGM.1348,919,641,89,0.138846
BGM-1348,CNPMF1348:250372100,BGM.1348,1094,466,71,0.152361
BGM-1370,CNPMF1370:250372103,BGM.1370,950,610,77,0.12623
BGM-1370,BGM1370:250437361,BGM.1370,912,648,93,0.143519
BGM-1371,CNPMF1371:250372114,BGM.1371,942,618,95,0.153722
BGM-1371,CNPMF1371:250372114,BGM.1371.1,972,588,94,0.159864
BGM-1398,CNPMF1398:250372231,BGM.1398,1559,1,0,0
BGM-1398,BGM1398:250494289,BGM.1398,790,770,101,0.131169
BGM-1403,CNPMF1403:250372161,BGM.1403,801,759,99,0.130435
BGM-1403,CNPMF1403:250372161,BGM.1403.1,869,691,93,0.134588
BGM-1407,CNPMF1407:250372173,BGM.1407,778,782,88,0.112532
BGM-1407,BGM1407:250437373,BGM.1407,879,681,86,0.126285
BGM-1409,BGM1409:250437873,BGM.1409,744,816,85,0.104167
BGM-1409,CNPMF1409:250372185,BGM.1409,840,720,82,0.113889
BGM-1416,CNPMF1416:250372221,BGM.1416,943,617,87,0.141005
BGM-1416,BGM1416:250437374,BGM.1416,909,651,95,0.145929
BGM-1485,CNPMF1485:250372203,BGM.1485,952,608,85,0.139803
BGM-1485,CNPMF1485:250372203,BGM.1485.1,1000,560,79,0.141071
BGM-1502,CNPMF1502:250372182,BGM.1502,769,791,91,0.115044
BGM-1502,CNPMF1502:250372182,BGM.1502.1,825,735,98,0.133333
BGM-1507,CNPMF1507:250372194,BGM.1507,877,683,90,0.131772
BGM-1507,CNPMF1507:250372194,BGM.1507.1,934,626,89,0.142173
BGM-1515,CNPMF1515:250372229,BGM.1515,780,780,95,0.121795
BGM-1515,CNPMF1515:250372229,BGM.1515.1,832,728,96,0.131868
BGM-1549,CNPMF1549:250406959,BGM.1549,897,663,92,0.138763
BGM-1549,CNPMF1549:250406959,BGM.1549.1,954,606,88,0.145215
BGM-1584,CNPMF1584:250406950,BGM.1584,964,596,78,0.130872
BGM-1584,BGM1584:250437389,BGM.1584,948,612,89,0.145425
BGM-1605,CNPMF1605:250407034,BGM.1605,914,646,81,0.125387
BGM-1605,CNPMF1605:250407034,BGM.1605.1,956,604,77,0.127483
BGM-1610,CNPMF1610:250406975,BGM.1610.1,997,563,71,0.12611
BGM-1610,CNPMF1610:250406975,BGM.1610,941,619,81,0.130856
BGM-1660,Aimpim_Brasil:250437471,BGM.1660,778,782,87,0.111253
BGM-1660,CNPMF1660:250407004,BGM.1660,990,570,67,0.117544
BGM-1680,CNPMF1680:250368893,BGM.1680,990,570,66,0.115789
BGM-1680,CNPMF1680:250368893,BGM.1680.1,965,595,70,0.117647
BGM-1680,CNPMF1680:250368893,BGM.1680.2,984,576,69,0.119792
BGM-1722,CNPMF1722:250368910,BGM.1722,863,697,75,0.107604
BGM-1722,CNPMF1722:250368910,BGM.1722.1,886,674,79,0.117211
BGM-1722(D),BGM1722_D_:250437393,BGM.1722.D.,947,613,95,0.154976
BGM-1722(D),BGM1722_D_:250437393,BGM.1722.D..1,961,599,97,0.161937
BGM-1728,BGM1728:250494282,BGM.1728,821,739,93,0.125846
BGM-1728,CNPMF1728:250368934,BGM.1728,1555,5,1,0.2
BGM-1753,CNPMF1753:250368901,BGM.1753,1002,558,69,0.123656
BGM-1753,CNPMF1753:250368901,BGM.1753.1,1083,477,64,0.134172
BGM-1770,CNPMF1770:250368892,BGM.1770,980,580,74,0.127586
BGM-1770,CNPMF1770:250368892,BGM.1770.1,1014,546,78,0.142857
BGM-2019,BGM2019CMeBag4:250494266,BGM.2019,759,801,89,0.111111
BGM-2019,BGM2019CMeBag4:250494266,BGM.2019.2,744,816,93,0.113971
BGM-2019,BGM2019Bag1:250494274,BGM.2019,904,656,76,0.115854
BGM-2019,BGM2019Bag1:250494274,BGM.2019.2,890,670,81,0.120896
BGM-2019,BGM2019CMeBag4:250494266,BGM.2019.1,766,794,98,0.123426
BGM-2019,BGM2019Bag1:250494274,BGM.2019.1,910,650,85,0.130769
BGM-2020,CNPMF2020:250380481,BGM.2020.1,966,594,73,0.122896
BGM-2020,CNPMF2020:250380481,BR.SET1.18.BGM.2020.1.120,963,597,119,0.19933
BGM-2053,BGM2053:250437439,BGM.2053.1,883,677,95,0.140325
BGM-2053,BGM2053:250437439,BGM.2053,851,709,103,0.145275
BGM-2054,BGM2054:250437432,BGM.2054,803,757,81,0.107001
BGM-2054,BGM2054:250437432,BGM.2054.1,811,749,91,0.121495
BGM-2095,BGM2095,BGM.2095.2,512,1048,104,0.0992366
BGM-2095,BGM2095,BGM.2095,527,1033,104,0.100678
BGM-2095,Corrente:250494284,BGM.2095.2,869,691,97,0.140376
BGM-2095,Corrente:250494284,BGM.2095,882,678,97,0.143068
BGM-2098,FecBranca:250380434,BR.20.DArT.PL23_B01...BGM.2098,1078,482,65,0.134855
BGM-2098,FecBranca:250380434,BR.22.DArT.PL22_F06...BGM.2098,1084,476,66,0.138655
BGM-2098,FecBranca:250380434,BGM.2098,1061,499,71,0.142285
BGM-2098,FecBranca:250380434,Fecula.Branca,1058,502,74,0.14741
BGM-2102,BGM2102,BGM.2102,508,1052,120,0.114068
BGM-2102,IAC_90:250437572,BGM.2102,841,719,94,0.130737
BGM-2103,BGM_2103,BGM.2103,693,867,103,0.1188
BGM-2103,IACCapora:250380497,BGM.2103,928,632,94,0.148734
BGM-2104,BGM2104,BGM.2104,601,959,103,0.107404
BGM-2104,IAC14:250380496,BGM.2104,924,636,88,0.138365
BGM-2111,OlhoJunto:250437624,BGM.2111.1,837,723,91,0.125864
BGM-2111,OlhoJunto:250437624,BGM.2111,808,752,95,0.12633
