INDV,FID1,IID1,FID2,IID2,RT,EZ,Z0,Z1,Z2,PI_HAT,PHE,DST,PPC,RATIO,N_NA,N_COMMON_CALLED,N_DISCORD,DISCORDANCE
BGM-1255,0,BGM1255:250494278,0,BGM.1255,OT,0,0.1725,0,0.8275,0.8275,-1,0.969027,0.9979,21,940,620,89,0.143548
BGM-0043,0,BRA834:250327478,0,BGM.0043,OT,0,0,0.3398,0.6602,0.8301,-1,0.955947,0.9995,NA,685,875,114,0.130286
ECU72,0,ECU72:250327610,0,ECU72,OT,0,0.0464,0.1673,0.7864,0.87,-1,0.968539,1,49,699,861,89,0.103368
BGM-1212,0,BGM1212:250494248,0,BGM.1212,OT,0,0.7238,0.0184,0.2578,0.267,-1,0.845029,0.4251,1.8,773,787,258,0.327827
BGM-0281,0,BRA125:250327455,0,BGM.0281,OT,0,0.1988,0,0.8012,0.8012,-1,0.967857,0.9997,16,614,946,97,0.102537
BGM-0967,0,BGM0967:250494240,0,BGM.0967,OT,0,0,0.2269,0.7731,0.8866,-1,0.970588,0.9977,NA,896,664,81,0.121988
BGM-2357,0,SE_03:250581759,0,SE.3,OT,0,0.1847,0.0795,0.7357,0.7755,-1,0.950746,0.9991,10.6667,535,1025,105,0.102439
BGM-1632,0,BGM1632:250581764,0,BGM.1632,OT,0,1,0,0,0,-1,0.774194,0,0.3571,628,932,319,0.342275
BGM-0945,0,BRA468:250327470,0,BGM.0945,OT,0,0.2649,0,0.7351,0.7351,-1,0.950935,0.9995,8.4,510,1050,95,0.0904762
BGM-1728,0,BGM1728:250494282,0,BGM.1728,OT,0,0.1898,0,0.8102,0.8102,-1,0.962264,1,20,821,739,93,0.125846
BGM-1160,0,BGM1160:250494277,0,BGM.1160,OT,0,0.1484,0.3413,0.5103,0.6809,-1,0.92446,0.9991,24,817,743,191,0.257066
TMEB14,0,TME14:250494263,0,BR.20.DArT.PL23_H01...TMEB14,OT,0,0.7167,0,0.2833,0.2833,-1,0.848726,0.5987,2.2,746,814,219,0.269042
BGM-0022-TB,0,BGM0022taloBranco:250494234,0,BGM.0022.TB.1,OT,0,0,0.1574,0.8426,0.9213,-1,0.979592,1,NA,835,725,94,0.129655
BGM-0650,0,BGM650:250494276,0,BGM.0650,OT,0,0.1691,0.1044,0.7265,0.7787,-1,0.95082,0.9858,14,819,741,80,0.107962
BGM-0971,0,BGM0971:250494247,0,BGM.0971,OT,0,0.2605,0,0.7395,0.7395,-1,0.964286,0.9866,9,849,711,83,0.116737
BGM-2339,0,CORRENTAO:250581753,0,BGM.2339,OT,0,0.6171,0.0267,0.3562,0.3696,-1,0.866453,0.9768,3.6923,636,924,252,0.272727
BGM-1580,0,BGM1580:250494269,0,BGM.1580,OT,0,0.1453,0,0.8547,0.8547,-1,0.975655,0.9998,17,859,701,75,0.10699
BGM-0252,0,BGM0252:250581762,0,BGM.0252,OT,0,0.1765,0,0.8235,0.8235,-1,0.966592,1,14.25,671,889,93,0.104612
BGM-2121,0,BGM2121:250581757,0,BGM.2121,OT,0,0.0529,0.0821,0.865,0.9061,-1,0.978205,1,61,720,840,92,0.109524
BGM-2355,0,SE_01:250581740,0,SE.1,OT,0,0.1971,0.1463,0.6567,0.7298,-1,0.93949,1,29.5,678,882,133,0.150794
BGM-1077,0,BRA1173:250327492,0,BGM.1077,OT,0,0.3027,0,0.6973,0.6973,-1,0.945531,0.9986,6.8333,537,1023,110,0.107527
BGM-1253,0,BGM1253:250494285,0,BR.SET1.18.BGM.1253.1.178,OT,0,0,0.2919,0.7081,0.8541,-1,0.962162,0.9999,NA,668,892,96,0.107623
BGM-1310,0,BGM1310:250494286,0,BGM.1310,OT,0,0,0.3467,0.6533,0.8267,-1,0.955056,0.9928,NA,1009,551,104,0.188748
BGM-0022-TR,0,BGM0022taloroxo:250494242,0,BGM.0022.T.Rx,OT,0,0.2485,0.0605,0.6909,0.7212,-1,0.939759,0.9953,11,811,749,110,0.146862
BGM-0374,0,BGM0374:250581772,0,BGM.0374,OT,0,0,0.2852,0.7148,0.8574,-1,0.963028,1,NA,619,941,110,0.116897
BGM-1335,0,BGM1335:250494287,0,BGM.1335,OT,0,0,0.3829,0.6171,0.8085,-1,0.950355,0.9998,NA,889,671,105,0.156483
BGM-2294,0,JOSELITOA2:250581744,0,BGM.2294,OT,0,0.0436,0.1166,0.8398,0.8981,-1,0.975687,1,69,688,872,82,0.0940367
BGM-2356,0,SE_02:250581748,0,SE.2,OT,0,0.1428,0.1682,0.689,0.7731,-1,0.948097,0.9998,17.5,601,959,114,0.118874
BGM-2019,0,BGM2019CMeBag4:250494266,0,BGM.2019,OT,0,0,0.1851,0.8149,0.9074,-1,0.976,0.9977,NA,759,801,89,0.111111
Aipim-Brasilia,0,A_BRASILIA:250581741,0,Aipim.Brasilia,OT,0,1,0,0,0,-1,0.772349,0,0.6176,663,897,330,0.367893
BGM-0017,0,BGM0017:250494241,0,BGM.0017,OT,0,0,0.4576,0.5424,0.7712,-1,0.940678,0.9946,NA,794,766,108,0.140992
SE-09,0,SE_09:250581756,0,SE.09,OT,0,0.152,0.0181,0.8299,0.8389,-1,0.965602,1,21.3333,731,829,102,0.12304
BGM-0260,0,BRA134:250327456,0,BGM.0260,OT,0,0.1006,0.1562,0.7432,0.8213,-1,0.958537,1,28.5,366,1194,114,0.0954774
BGM-1348,0,BGM1348:250437351,0,BGM.1348,OT,0,0.1563,0.0088,0.8349,0.8393,-1,0.965909,0.9984,22,919,641,89,0.138846
BGM-1567,0,CNPMF1567:250407008,0,BGM.1567,OT,0,0.3276,0,0.6724,0.6724,-1,0.940367,0.9151,5.5,948,612,72,0.117647
BGM-0058,0,CNPMF58:250370260,0,BGM.0058,OT,0,0,0.261,0.739,0.8695,-1,0.966165,0.9997,NA,863,697,103,0.147776
BGM-1053,0,BGM1053:250437328,0,BGM.1053,OT,0,0,0.3,0.7,0.85,-1,0.961111,0.9873,NA,937,623,90,0.144462
Guela-de-Jacu,0,GUELA_JACU,0,Guela.de.Jacu,OT,0,1,0,0,0,-1,0.780446,0,0.4878,524,1036,356,0.343629
BGM-0532,0,CNPMF532:250370631,0,BGM.0532,OT,0,0.321,0,0.679,0.679,-1,0.95,0.7365,4,1072,488,81,0.165984
BGM-0521,0,CNPMF521:250370701,0,BGM.0521,OT,0,0.4911,0.0278,0.4811,0.495,-1,0.892857,0.9773,NA,1081,479,95,0.19833
BGM-1957,0,CNPMF1957:250380464,0,BGM.1957,OT,0,0.3967,0.0595,0.5438,0.5735,-1,0.908654,0.6915,3,923,637,103,0.161695
BGM-0106,0,CNPMF106:250370264,0,BGM.0106,OT,0,0.2901,0,0.7099,0.7099,-1,0.962264,0.956,10,1171,389,61,0.156812
BGM-0100,0,CNPMF100:250370335,0,BGM.0100,OT,0,0.2171,0.0123,0.7706,0.7767,-1,0.952632,0.9918,16,949,611,81,0.13257
BGM-0395,0,CNPMF395:250370541,0,BGM.0395,OT,0,0.2485,0.0141,0.7374,0.7444,-1,0.945783,0.9892,15,984,576,72,0.125
BGM-0400,0,CNPMF400:250370565,0,BGM.0400,OT,0,0.3889,0,0.6111,0.6111,-1,0.94697,0.5,2,1052,508,58,0.114173
BGM-1810,0,CNPMF1810:250380414,0,BGM.1810,OT,0,0.4249,0,0.5751,0.5751,-1,0.916667,0.9498,6.5,996,564,80,0.141844
BGM-0067,0,CNPMF67:250370297,0,BGM.0067,OT,0,0.2985,0,0.7015,0.7015,-1,0.960784,0.9773,8,986,574,71,0.123693
BGM-0052,0,CNPMF52:250370319,0,BGM.0052,OT,0,0.2787,0.0158,0.7055,0.7134,-1,0.939189,0.9812,13,1030,530,65,0.122642
BR-14-010-11,0,2014_010_11,0,BR.20.DArT.PL22_E07...BR.14.010.11,OT,0,0.1004,0.0338,0.8658,0.8827,-1,0.974453,1,32.5,683,877,92,0.104903
BGM-1044,0,BGM1044:250437327,0,BGM.1044,OT,0,0,0.4182,0.5818,0.7909,-1,0.945783,0.9946,NA,953,607,94,0.15486
BGM-0541,0,CNPMF541:250370667,0,BGM.0541,OT,0,0,0,1,1,-1,0.961538,0.9412,9,1156,404,55,0.136139
BGM-1408,0,CNPMF1408:250372174,0,BGM.1408,OT,0,0.1563,0.0673,0.7764,0.8101,-1,0.958333,0.9938,17,879,681,92,0.135095
BGM-0968,0,BGM0968:250437250,0,BGM.0968.1,OT,0,1,0,0,0,-1,0.8,0.0174,0.8333,907,653,212,0.324655
BGM-1422,0,CNPMF1422:250372151,0,BGM.1422,OT,0,0.2423,0,0.7577,0.7577,-1,0.953416,0.9939,10.5,831,729,97,0.133059
BGM-0475,0,CNPMF475:250370628,0,BGM.0475,OT,0,0,0.5509,0.4491,0.7245,-1,0.928571,0.9946,NA,1177,383,90,0.234987
BGM-0386,0,CNPMF386:250370505,0,BGM.0386,OT,0,0.4291,0,0.5709,0.5709,-1,0.936047,0.892,4.3333,1012,548,74,0.135036
BGM-1880,0,CNPMF1880:250380440,0,BGM.1880,OT,0,0.3321,0,0.6679,0.6679,-1,0.934783,0.9973,20,965,595,82,0.137815
BGM-0023,0,BGM0023:250437172,0,BGM.0023.1,OT,0,1,0,0,0,-1,0.802013,0.0012,0.4,960,600,188,0.313333
