GID	predOf	DMCg	logFSY	logFRY	PA	StC	Anthractnose	ManchaBranca	ManchaParda	QueimaFolhas
1	Aciolina	GEBV	-3.64901173583584	-0.567653404719722	-0.306039419145767	-0.35673165086323	-2.87341276045434	0	0.00606493459693205	-0.0291431814624668	0
2	Aciolina	GETGV	-4.4525178824885	-0.599358667207282	-0.241250931380267	-0.46560615498986	-2.87341276045434	0.00679665129049435	-0.00749782448791629	-0.0291431814624668	1.06785221566999e-05
3	Aipim-Abacate-2	GEBV	0.0538072256748083	-0.0499646574820166	0.00706169378997467	-0.313224151996532	0.530123832776192	0	0.00139390009253591	-0.0340312017850661	0
4	Aipim-Abacate-2	GETGV	0.410855050735731	0.0669015815773105	0.183481741893764	-0.187435480856943	0.530123832776192	-0.0409958855528242	-0.0453444419113085	-0.0340312017850661	-2.7054449754558e-05
5	Aipim-Brasilia	GEBV	-3.27402283226124	-0.284493318196916	-0.13581073736186	-0.320119244487312	-1.1362341478316	0	-0.00549022549898748	-0.0447468808998575	0
6	Aipim-Brasilia	GETGV	-3.43317756932511	-0.387618333728651	-0.310223025172122	-0.616435511414768	-1.1362341478316	0.0404469894097167	-0.0876289571869849	-0.0447468808998575	0.000204207257566881
7	Aipim-Eucalipto-NV	GEBV	-2.15331759462558	-0.521444949825424	-0.267125470599752	-0.503807012784858	-1.706819120297	0	0.00609742516085045	-0.0366478679972298	0
8	Aipim-Eucalipto-NV	GETGV	-2.24968274980261	-0.569359335563268	-0.384109467349168	-0.448716186001757	-1.706819120297	-0.0442870726121831	-0.0340706437548266	-0.0366478679972298	0.000151079272957379
9	Aipim-Guanambi	GEBV	-0.643034784527182	-0.239686409899138	-0.132061839972271	-0.0637353475623467	-0.422720124701412	0	0.00179174252676174	-0.0317095304294133	0
10	Aipim-Guanambi	GETGV	-0.561152301309322	-0.242818244592047	-0.0630139795161745	-0.0781267152539889	-0.422720124701412	0.0179557775191112	0.0289608018702762	-0.0317095304294133	-5.3429506106762e-05
11	Aipim-Ze-Marcos(1)	GEBV	-1.14874790188237	-0.240441887106806	-0.158355380586609	-0.280180213322721	-0.0197196810892794	0	-0.00867892274612006	-0.0313666407292899	0
12	Aipim-Ze-Marcos(1)	GETGV	-0.988073968495214	-0.34966572343815	-0.331099736924811	-0.297647335151924	-0.0197196810892794	-0.0315361795848552	-0.177563245905421	-0.0313666407292899	6.3223945162224e-05
13	Alemao-Aracruz	GEBV	-1.93410110044209	-0.405138703087779	-0.151106994466757	-0.0912137123970994	-0.732971327540417	0	0.0145895616895833	0.012611020621153	0
14	Alemao-Aracruz	GETGV	-2.31512440608029	-0.513287283905798	-0.176178482855217	-0.0935971311561438	-0.732971327540417	0.0285728722087624	0.00915272230939065	0.012611020621153	-2.94006864213022e-06
15	AM-Jaeve-RN	GEBV	-1.26426246434647	0.00903027070358094	-0.163435656986044	0.741056140504975	-0.251414011201926	0	0.0189327935949037	0.0260986256125777	0
16	AM-Jaeve-RN	GETGV	-1.41581854392875	-0.017175593917826	-0.00789891184646258	0.629168146056629	-0.251414011201926	0.0332416761006346	0.0784831655978012	0.0260986256125777	-9.6678050238634e-05
17	Amarela	GEBV	-2.50356990752147	-0.543560019373001	-0.28964440991771	-0.388961322631256	-1.92762875514128	0	0.00674206970371299	-0.0353895752159661	0
